id,roadid,lat,lon,route,district,address
20,K03,25.02257387,121.4793116,三民路一段,板橋區,220台灣新北市板橋區三民路一段48號
21,K03,25.02250257,121.4793369,三民路一段,板橋區,220台灣新北市板橋區三民路一段52號
22,K03,25.02216899,121.4794026,三民路一段,板橋區,220台灣新北市板橋區三民路一段72號
682,K18,25.01759054,121.4828087,新北市,台灣,220台灣新北市板橋區Guang Fu Senior High School
683,K18,25.01755898,121.4827667,新北市,台灣,220台灣新北市板橋區Guang Fu Senior High School
859,K25,25.01837449,121.4610158,國光路,板橋區,220台灣新北市板橋區國光路186號
1396,K42,25.0195366,121.4552379,106縣道,板橋區,220台灣新北市板橋區106縣道301號
1998,K63,25.0277565,121.4725426,文化路二段182巷7弄,板橋區,220台灣新北市板橋區文化路二段182巷7弄17號
2040,K65,25.02570118,121.4552483,綠堤街,板橋區,220台灣新北市板橋區綠堤街49號
5244,T52,25.01574602,121.4825899,光中路,板橋區,220台灣新北市板橋區光中路109號
5377,K04,25.02617097,121.462173,板橋區,新北市,"號 No. 277, 陽明街板橋區新北市台灣 220"
5378,K04,25.02621443,121.4621466,板橋區,新北市,"號 No. 277, 陽明街板橋區新北市台灣 220"
5379,K04,25.02625789,121.4621202,陽明街,板橋區,220台灣新北市板橋區陽明街277-1號
5380,K04,25.02630135,121.4620939,陽明街,板橋區,220台灣新北市板橋區陽明街277-1號
5381,K04,25.02634481,121.4620675,陽明街,板橋區,220台灣新北市板橋區陽明街281號
5382,K04,25.02643314,121.4620133,陽明街,板橋區,220台灣新北市板橋區陽明街283號
5383,K04,25.02647753,121.461986,陽明街,板橋區,220台灣新北市板橋區陽明街289號
5384,K04,25.02652193,121.4619587,陽明街,板橋區,220台灣新北市板橋區陽明街289號
5385,K04,25.02656632,121.4619313,陽明街,板橋區,"號, No. 291陽明街板橋區新北市台灣 220"
5386,K04,25.02661072,121.461904,陽明街,板橋區,"號, No. 291陽明街板橋區新北市台灣 220"
5387,K12,25.02645635,121.4634845,四維路177巷4弄,板橋區,220台灣新北市板橋區四維路177巷4弄16號
5428,K18,25.01749062,121.4834424,板橋區,新北市,220台灣新北市板橋區新北市板橋區
5429,K18,25.01743961,121.483465,板橋區,新北市,220台灣新北市板橋區新北市板橋區
5430,K18,25.01738861,121.4834872,板橋區,新北市,220台灣新北市板橋區新北市板橋區
5431,K18,25.0173376,121.4835094,板橋區,新北市,220台灣新北市板橋區新北市板橋區
5432,K18,25.01713307,121.4837517,板橋區,新北市,220台灣新北市板橋區新北市板橋區
6349,K63,25.02781825,121.4713202,文化路二段182巷1弄,板橋區,220台灣新北市板橋區文化路二段182巷1弄15號
6750,KC5,25.00999029,121.4726838,長安街,板橋區,220台灣新北市板橋區長安街138號
7566,K42,25.01803198,121.4560669,中正路,板橋區,220台灣新北市板橋區中正路204號
7685,K45,25.02565894,121.4746586,新北市,台灣,220台灣新北市板橋區Juguang Elementary School
7853,K18,25.01893891,121.4858107,光環路一段,板橋區,220台灣新北市板橋區光環路一段8號
8131,K62,25.00024665,121.4448486,114縣道,板橋區,220台灣新北市板橋區114縣道96號
8134,KA3,24.99433484,121.4585843,和平路,板橋區,220台灣新北市板橋區和平路4-5號
8141,KA3,24.9945327,121.460338,和平路,板橋區,220台灣新北市板橋區和平路28號
8316,K42,25.02369557,121.454275,中正路,板橋區,220台灣新北市板橋區中正路352號
8317,K42,25.02364592,121.4542746,106縣道,板橋區,220台灣新北市板橋區106縣道348號
8318,K42,25.02359626,121.4542742,106縣道,板橋區,220台灣新北市板橋區106縣道348號
8806,K25,25.01796501,121.4590649,板橋區,新北市,220台灣新北市板橋區國光路
8880,K76,25.01482376,121.4756526,民享街,板橋區,220台灣新北市板橋區民享街37號
9037,KA6,24.98729558,121.4260251,滿平街84巷,板橋區,220台灣新北市板橋區滿平街84巷80號
9038,KA6,24.98734171,121.426,滿平街84巷,板橋區,220台灣新北市板橋區滿平街84巷76號
9039,K07,25.02330181,121.4598711,新海路135巷,板橋區,220台灣新北市板橋區新海路135巷29號
9040,K07,25.02321515,121.459925,新海路135巷,板橋區,220台灣新北市板橋區新海路135巷29號
9041,K07,25.02325445,121.4599006,新海路135巷,板橋區,220台灣新北市板橋區新海路135巷29號
9042,K07,25.02334003,121.4598471,新海路135巷,板橋區,220台灣新北市板橋區新海路135巷29號
9075,K78,25.01481973,121.4762078,中山路二段90巷,板橋區,220台灣新北市板橋區中山路二段90巷41號
9979,K51,25.00358457,121.4574738,貴興路,板橋區,220台灣新北市板橋區貴興路43號
10366,K49,25.02382254,121.4835811,萬安街53巷,板橋區,220台灣新北市板橋區萬安街53巷4號
10367,K49,25.02385359,121.4836846,萬安街53巷,板橋區,220台灣新北市板橋區萬安街53巷2號
10368,K49,25.02383809,121.4836329,萬安街53巷,板橋區,220台灣新北市板橋區萬安街53巷4號
10409,K57,25.01380422,121.4811836,居仁巷1弄,板橋區,220台灣新北市板橋區居仁巷1弄55號
10410,K57,25.0139498,121.4811809,長壽街,板橋區,220台灣新北市板橋區長壽街5號
10411,K57,25.01399935,121.4811845,長壽街,板橋區,220台灣新北市板橋區長壽街5號
10412,K57,25.01404889,121.4811881,三民路二段153巷,板橋區,220台灣新北市板橋區三民路二段153巷36號
10575,K37,25.01159315,121.4563196,北門街,板橋區,220台灣新北市板橋區北門街1巷1號
10740,K48,25.02336418,121.4815475,三民路一段31巷87-89弄,板橋區,220台灣新北市板橋區三民路一段31巷87-89弄3號
10790,K52,24.99226615,121.4521748,四川路二段245巷,板橋區,220台灣新北市板橋區四川路二段245巷54號
11393,KA9,25.00034491,121.4469797,板橋區,新北市,220台灣新北市板橋區合安一路
11394,KA9,25.00039115,121.4469996,板橋區,新北市,220台灣新北市板橋區合安一路
11395,KA9,24.99989134,121.4467831,大觀路二段163巷,板橋區,220台灣新北市板橋區大觀路二段163巷42號
11483,K35,25.02075856,121.4810394,中山路二段443巷,板橋區,220台灣新北市板橋區中山路二段443巷16號
12579,K55,24.99166967,121.4532478,四川路二段245巷,板橋區,220台灣新北市板橋區四川路二段245巷125號
12973,K04,25.02274728,121.4644949,陽明街,板橋區,220台灣新北市板橋區陽明街82號
13885,KA9,24.99954335,121.4466341,大觀路二段169巷,板橋區,220台灣新北市板橋區大觀路二段169巷24號
13886,KA9,24.99958959,121.4466539,大觀路二段169巷,板橋區,220台灣新北市板橋區大觀路二段169巷24號
13887,KA9,24.99963583,121.4466738,大觀路二段169巷,板橋區,220台灣新北市板橋區大觀路二段169巷24號
13888,KA9,24.99968207,121.4466937,大觀路二段163巷,板橋區,220台灣新北市板橋區大觀路二段163巷42號
13889,KA9,24.9998451,121.4467633,大觀路二段163巷,板橋區,220台灣新北市板橋區大觀路二段163巷42號
15367,K07,25.0240475,121.4604457,新海路,板橋區,220台灣新北市板橋區新海路328號
15684,K60,24.99491562,121.4507107,南雅南路二段144巷,板橋區,220台灣新北市板橋區南雅南路二段144巷67號
15685,K60,24.99487323,121.45074,南雅南路二段144巷,板橋區,220台灣新北市板橋區南雅南路二段144巷67號
15725,K79,25.0123371,121.4761934,板橋區,新北市,220台灣新北市板橋區正隆廣場
15726,K79,25.01230452,121.4762345,板橋區,新北市,220台灣新北市板橋區正隆廣場
15727,K79,25.01227206,121.4762757,板橋區,新北市,220台灣新北市板橋區正隆廣場
15814,K78,25.01495191,121.4761148,板橋區,新北市,220台灣新北市板橋區新北市板橋區
15854,K79,25.01151022,121.4781689,106甲縣道,板橋區,220台灣新北市板橋區106甲縣道16號
15873,K79,25.0136247,121.4748626,106甲縣道,板橋區,220台灣新北市板橋區106甲縣道77號
15874,K79,25.0115712,121.4780545,106甲縣道,板橋區,220台灣新北市板橋區106甲縣道18號
15891,K79,25.01312331,121.4753563,民生路一段,板橋區,220台灣新北市板橋區民生路一段57號
15892,K03,25.02177094,121.4793266,北91鄉道,板橋區,220台灣新北市板橋區北91鄉道86號
15893,K03,25.02353831,121.4786605,三民路一段,板橋區,220台灣新北市板橋區三民路一段6號
15924,KD5,25.01074125,121.4673838,區運路,板橋區,220台灣新北市板橋區區運路100號
16003,K30,25.00803631,121.4645772,館前東路,板橋區,220台灣新北市板橋區館前東路154號
16004,K09,25.02183589,121.4587642,新生街98巷,板橋區,220台灣新北市板橋區新生街98巷8號
16045,KD4,25.00285446,121.4660123,忠孝路,板橋區,220台灣新北市板橋區忠孝路237號3樓之1
16145,K37,25.01071504,121.4574945,北門街,板橋區,220台灣新北市板橋區北門街12-20號
16643,K62,24.99932468,121.444093,大觀路二段,板橋區,220台灣新北市板橋區大觀路二段108號
16958,K60,24.99526343,121.450346,南雅南路二段144巷,板橋區,220台灣新北市板橋區南雅南路二段144巷51號
17097,K24,25.00965817,121.4708947,漢生東路,板橋區,220台灣新北市板橋區漢生東路280號
17269,K95,25.02337794,121.4491768,環河西路五段,板橋區,220台灣新北市板橋區環河西路五段368號
18550,K82,24.99144403,121.4622192,廣權路,板橋區,220台灣新北市板橋區廣權路50號
18824,K03,25.01628194,121.4791103,三民路二段,板橋區,220台灣新北市板橋區三民路二段136-2號
18964,K38,25.01149605,121.4549566,中正路1巷,板橋區,220台灣新北市板橋區中正路1巷22號
19073,K18,25.01891451,121.485733,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷29號
19179,K18,25.01762166,121.482851,新北市,台灣,220台灣新北市板橋區Guang Fu Senior High School
19195,K18,25.01765383,121.4828957,新北市,台灣,220台灣新北市板橋區Guang Fu Senior High School
19247,K80,24.99393272,121.4630959,廣和街,板橋區,220台灣新北市板橋區廣和街33-5號
19289,K83,24.99399616,121.4621577,廣和街,板橋區,220台灣新北市板橋區廣和街62號
19290,K83,24.99390645,121.4620114,廣和街,板橋區,220台灣新北市板橋區廣和街62號
19291,K83,24.99392184,121.4621582,廣和街,板橋區,220台灣新北市板橋區廣和街62號
19311,K83,24.99392758,121.4622073,廣和街,板橋區,220台灣新北市板橋區廣和街66號
19343,KC5,25.00980217,121.4727908,長安街138巷,板橋區,220台灣新北市板橋區長安街138巷3號
19412,K42,25.01814877,121.4558843,中正路,板橋區,220台灣新北市板橋區中正路241號
19413,K42,25.01794565,121.4559786,中正路,板橋區,220台灣新北市板橋區中正路231號2號
19541,KA9,24.99918533,121.447128,合安一路,板橋區,220台灣新北市板橋區合安一路49號
19611,K35,25.02107035,121.4809362,中山路二段443巷,板橋區,220台灣新北市板橋區中山路二段443巷32號
19679,K42,25.01479658,121.4579139,中正路80巷,板橋區,220台灣新北市板橋區中正路80巷29號
20184,K35,25.02088053,121.4809488,中山路二段443巷,板橋區,220台灣新北市板橋區中山路二段443巷22號
20185,K35,25.02093009,121.4809454,中山路二段443巷,板橋區,220台灣新北市板橋區中山路二段443巷28號
20186,K35,25.02080813,121.4810361,中山路二段443巷,板橋區,220台灣新北市板橋區中山路二段443巷18號
20543,K03,25.01544356,121.4790363,三民路二段,板橋區,220台灣新北市板橋區三民路二段146號
20589,K13,25.02378436,121.4554209,中正路372巷,板橋區,220台灣新北市板橋區中正路372巷28號
21037,K25,25.0179528,121.4590115,板橋區,新北市,220台灣新北市板橋區國光路
21723,KA1,24.99520923,121.4573957,國慶路,板橋區,220台灣新北市板橋區國慶路6號
