roadid,lat,lon,route,車格數量
1,25.01157119971716,121.4780544574126,106甲縣道,4
2,25.02165672223397,121.4792792112332,三民路一段,35
3,25.02315948886511,121.479704671686,三民路一段31巷,5
4,25.01551356327908,121.4790414861726,三民路二段,89
5,25.01418985346229,121.4766339569923,三民路二段正隆巷,16
6,25.02819134217621,121.4799115491722,大同街,11
7,25.00316803089966,121.4587764143152,大明街,2
8,25.00336910943352,121.4588244207069,大明街20巷,7
9,25.00217347606727,121.4580967942283,大明街25巷,7
10,25.01482880825096,121.4563233601008,大智街,7
11,24.99955841217404,121.4444669906477,大觀路二段,25
12,24.99932908613957,121.4467350925577,大觀路二段153巷,11
13,24.99416881851891,121.4597012440328,干城路,23
14,25.02131812457491,121.4809183943156,中山路二段443巷,30
15,25.01486835803595,121.4761735844026,中山路二段90巷,4
16,25.02364591717817,121.4542746127186,中正路 板橋體育館,91
17,25.01383567053637,121.456435526992,中正路 家樂福,46
18,25.01175789284456,121.4553920187169,中正路1巷,13
19,25.02348607770245,121.4556368403903,中正路372巷,49
20,25.02068055171602,121.4534557157221,中正路375巷,21
21,25.02004172443518,121.453774043209,中正路379巷,4
22,25.02097700437473,121.4533200060014,中正路379巷3弄,16
23,25.02112603962889,121.4532489076459,中正路397巷3弄,3
24,25.01466266100892,121.4575828167073,中正路80巷,5
25,25.027203191942,121.462268105262,互助街,21
26,25.0085186217272,121.462600562229,公園街,44
27,25.0213553543022,121.459804662276,公館街,6
28,25.0265526741905,121.4723446410941,文化路二段,2
29,25.02707139178917,121.4715077912637,文化路二段182巷,12
30,25.02789513765445,121.4714949934478,文化路二段182巷1弄,21
31,25.02698696528265,121.4716424627675,文化路二段182巷5弄,4
32,25.02720825379181,121.4721515379894,文化路二段182巷7弄,68
33,25.03432286647137,121.4805658767158,文新路,7
34,25.02409805429048,121.4622032842739,文德路,17
35,25.01097719609595,121.4571420271997,北門街,23
36,24.99447948317967,121.452035270994,四川路二段,12
37,24.99488311523763,121.4497418469451,四川路二段130巷,1
38,24.99220817951561,121.452263094695,四川路二段245巷,25
39,25.02637039571631,121.4635390595206,四維路177巷4弄,4
40,25.01271596974418,121.4761990402889,民生路一段,16
41,25.01393636299711,121.4758281570526,民生路一段30巷,18
42,25.0138135957813,121.4756260093798,民生路一段31巷,1
43,25.01954787770438,121.4709124880958,民生路二段,39
44,25.03224848175837,121.462888728563,民生路三段,10
45,25.01460925135657,121.4752922898466,民享街,19
46,25.00879694968635,121.4699571479414,民族路219巷,6
47,25.00818775999386,121.4700353519235,民族路225巷,6
48,25.00783936321135,121.4699731151712,民族路247巷3弄,6
49,25.00858937840738,121.4702740935148,民族路247巷5弄,4
50,25.00872839507361,121.4706245697707,民族路247巷7弄,6
51,25.01429225250099,121.4585464573296,民權路,22
52,25.027750866591,121.481406109121,田單街2巷,5
53,25.01577322681691,121.4832830870431,光中路,51
54,25.02742979597087,121.4666875701174,光武街,12
55,25.02838247355481,121.466198670404,光武街125巷,4
56,25.02715652886202,121.466823496471,光武街50巷,1
57,25.01844853769192,121.4841386948803,光復街,32
58,25.01863155279981,121.4847606438618,光復街140巷,3
59,25.01869236594572,121.4849681528814,光復街172巷,21
60,25.0173809694917,121.482803163482,光環路一段,83
61,24.99915535378604,121.4468732087324,合安一路,2
62,25.00509421394202,121.4625252294116,成都街,18
63,25.00494141613057,121.4618297035959,成都路63巷,1
64,25.01094613223864,121.453929247552,西門街,1
65,25.03002270737497,121.4684697165732,吳鳳路,8
66,24.99452939135486,121.460279540857,和平路,36
67,24.99519517638328,121.4622026056781,和平路101巷,9
68,24.99570704581669,121.4632321413444,和平路143巷,1
69,24.99670403986377,121.4633913195439,和平路161巷,1
70,24.99537918395396,121.4644687989778,和平路200巷,1
71,24.99926087292408,121.4469157030514,和安一路,6
72,25.01380421619949,121.4811835731505,居仁巷1弄,1
73,25.00988844369623,121.4596448637781,府中路,1
74,25.00280077076685,121.4664655233087,忠孝路,56
75,25.00265915958188,121.46481713406,忠孝路201巷,1
76,25.01021065971326,121.4597864378565,明德街,11
77,25.02920062009272,121.468663913322,松江街,15
78,24.99893039143606,121.4505114700021,板城路,29
79,25.01472924777917,121.4495204888717,板城路(環河),19
80,25.01223968907891,121.4763169760851,板新路,6
81,25.023633021015225,121.48273111836966,林森街3巷1弄,1
82,25.02142523391653,121.4592900783144,金華街85巷,4
83,25.00934896808953,121.4687718903168,長安街,9
84,25.0095755345704,121.4727014881213,長安街138巷,5
