ROAD_NAME,district,address
三民路一段,板橋區,220台灣新北市板橋區三民路一段48號
三民路一段,板橋區,220台灣新北市板橋區三民路一段52號
三民路一段,板橋區,220台灣新北市板橋區三民路一段72號
光復路二段143巷,三重區,241台灣新北市三重區光復路二段143巷3號
中和區,新北市,235台灣新北市中和區欣欣向榮
東豐街,樹林區,238台灣新北市樹林區東豐街45號
安和路,中和區,235台灣新北市中和區安和路127號
安和路,中和區,235台灣新北市中和區安和路143號
中和區,新北市,235台灣新北市中和區安樂路口
安和路,中和區,235台灣新北市中和區安和路15號
安和路,中和區,235台灣新北市中和區安和路195號
安和路,中和區,235台灣新北市中和區安和路195號
安和路,中和區,235台灣新北市中和區安和路199號
安平路,中和區,235台灣新北市中和區安平路3號
中和區,新北市,235台灣新北市中和區安樂路口
安和路,中和區,235台灣新北市中和區安和路7號
安和路,中和區,235台灣新北市中和區安和路33號
安和路,中和區,235台灣新北市中和區安和路35號
安和路,中和區,235台灣新北市中和區安和路37號
安和路,中和區,235台灣新北市中和區安和路37號
安和路,中和區,235台灣新北市中和區安和路41號
安和路,中和區,235台灣新北市中和區安和路21號
安和路,中和區,235台灣新北市中和區安和路21號
景新街273巷,中和區,235台灣新北市中和區景新街273巷32號
東豐街,樹林區,238台灣新北市樹林區東豐街45號
安和路,中和區,235台灣新北市中和區安和路21號
安和路,中和區,235台灣新北市中和區安和路12號
安和路,中和區,235台灣新北市中和區安和路12號
安和路,中和區,235台灣新北市中和區安和路25號
安和路,中和區,235台灣新北市中和區安和路81號
中和區,新北市,235台灣新北市中和區安和路
安和路,中和區,235台灣新北市中和區安和路75號
安和路,中和區,235台灣新北市中和區安和路109號
安和路,中和區,235台灣新北市中和區安和路109號
安和路,中和區,235台灣新北市中和區安和路85號
安和路,中和區,235台灣新北市中和區安和路63號
安和路,中和區,235台灣新北市中和區安和路63號
安和路,中和區,235台灣新北市中和區安和路81號
安和路,中和區,235台灣新北市中和區安和路77號
中和區,新北市,235台灣新北市中和區安和路
安和路,中和區,235台灣新北市中和區安和路63號
東豐街49巷22弄,樹林區,238台灣新北市樹林區東豐街49巷22弄43號
安和路,中和區,235台灣新北市中和區安和路109號
安和路,中和區,235台灣新北市中和區安和路151號
安和路,中和區,235台灣新北市中和區安和路143號
安和路,中和區,235台灣新北市中和區安和路151號
安和路,中和區,235台灣新北市中和區安和路77號
安和路,中和區,235台灣新北市中和區安和路95號
安和路,中和區,235台灣新北市中和區安和路95號
安和路,中和區,235台灣新北市中和區安和路95號
安和路,中和區,235台灣新北市中和區安和路127號
安和路,中和區,235台灣新北市中和區安和路127號
安和路,中和區,235台灣新北市中和區安和路127號
安和路,中和區,235台灣新北市中和區安和路127號
安和路,中和區,235台灣新北市中和區安和路151號
安和路,中和區,235台灣新北市中和區安和路137號
安和路,中和區,235台灣新北市中和區安和路137號
安和路,中和區,235台灣新北市中和區安和路137號
安和路,中和區,235台灣新北市中和區安和路211號
安和路,中和區,235台灣新北市中和區安和路213號
東豐街,樹林區,238台灣新北市樹林區東豐街42號
安和路,中和區,235台灣新北市中和區安和路213號
中和路,中和區,235台灣新北市中和區中和路212號
安和路,中和區,235台灣新北市中和區安和路216號
安和路,中和區,235台灣新北市中和區安和路216號
安和路,中和區,235台灣新北市中和區安和路216號
新北市,台灣,220台灣新北市板橋區Guang Fu Senior High School
新北市,台灣,220台灣新北市板橋區Guang Fu Senior High School
東豐街,樹林區,238台灣新北市樹林區東豐街71號
東豐街,樹林區,238台灣新北市樹林區東豐街71號
東豐街,樹林區,238台灣新北市樹林區東豐街73號
東豐街,樹林區,238台灣新北市樹林區東豐街60號
土城區,新北市,236台灣新北市土城區捷運頂埔站
中央路四段,土城區,236台灣新北市土城區中央路四段94號
東豐街,樹林區,238台灣新北市樹林區東豐街87號
國光路,板橋區,220台灣新北市板橋區國光路186號
味王街,樹林區,238台灣新北市樹林區味王街89號
味王街,樹林區,238台灣新北市樹林區味王街89號
味王街,樹林區,238台灣新北市樹林區味王街97號
味王街,樹林區,238台灣新北市樹林區味王街97號
味王街,樹林區,238台灣新北市樹林區味王街97號
味王街,樹林區,238台灣新北市樹林區味王街97號
板南路,中和區,235台灣新北市中和區板南路126號
板南路,中和區,235台灣新北市中和區板南路124號
興德路,三重區,241台灣新北市三重區興德路138號
中山路二段,樹林區,238台灣新北市樹林區中山路二段3號
中山路二段,樹林區,238台灣新北市樹林區中山路二段3號
中山路二段,樹林區,238台灣新北市樹林區中山路二段3號
中山路二段,樹林區,238台灣新北市樹林區中山路二段3號
114縣道,樹林區,238台灣新北市樹林區114縣道15號
114縣道,樹林區,238台灣新北市樹林區114縣道15號
114縣道,樹林區,238台灣新北市樹林區114縣道15號
114縣道,樹林區,238台灣新北市樹林區114縣道15號
長安街,蘆洲區,247台灣新北市蘆洲區長安街86號
興德路,三重區,241台灣新北市三重區興德路138號
北宜路一段,新店區,231台灣新北市新店區北宜路一段222號
北宜路一段,新店區,231台灣新北市新店區北宜路一段206號
北宜路一段,新店區,231台灣新北市新店區北宜路一段206號
中央路,新莊區,242台灣新北市新莊區中央路287號
中央路,新莊區,242台灣新北市新莊區中央路287號
中央路,新莊區,242台灣新北市新莊區中央路287號
中央路,新莊區,242台灣新北市新莊區中央路287號
中央路,新莊區,242台灣新北市新莊區中央路289號
中央路,新莊區,242台灣新北市新莊區中央路289號
中央路,新莊區,242台灣新北市新莊區中央路289號
中央路,新莊區,242台灣新北市新莊區中央路289號
中央路,新莊區,242台灣新北市新莊區中央路289號
中央路,新莊區,242台灣新北市新莊區中央路289號
中央路,新莊區,242台灣新北市新莊區中央路289號
中央路,新莊區,242台灣新北市新莊區中央路289號
中央路,新莊區,242台灣新北市新莊區中央路289號
中央路,新莊區,242台灣新北市新莊區中央路289號
中央路,新莊區,242台灣新北市新莊區中央路289號
中央路,新莊區,242台灣新北市新莊區中央路289號
中德路,新莊區,242台灣新北市新莊區中德路2號
中德路,新莊區,242台灣新北市新莊區中德路2號
中德路,新莊區,242台灣新北市新莊區中德路2號
中央路,新莊區,242台灣新北市新莊區中央路289號
新莊區,新北市,242台灣新北市新莊區中華昌和街口
新莊區,新北市,242台灣新北市新莊區中華昌和街口
新莊區,新北市,242台灣新北市新莊區中華昌和街口
新莊區,新北市,242台灣新北市新莊區中華昌和街口
新莊區,新北市,242台灣新北市新莊區中華昌和街口
新莊區,新北市,242台灣新北市新莊區中華昌和街口
新莊區,新北市,242台灣新北市新莊區中華昌和街口
新莊區,新北市,242台灣新北市新莊區中華昌和街口
中華路三段,新莊區,242台灣新北市新莊區中華路三段80號
中華路三段,新莊區,242台灣新北市新莊區中華路三段88號
中華路三段,新莊區,242台灣新北市新莊區中華路三段88號
新北大道一段,三重區,241台灣新北市三重區新北大道一段14號
中華路三段,新莊區,242台灣新北市新莊區中華路三段80號
中華路三段,新莊區,242台灣新北市新莊區中華路三段80號
中華路三段,新莊區,242台灣新北市新莊區中華路三段80號
中華路三段,新莊區,242台灣新北市新莊區中華路三段80號
麗水街,新莊區,242台灣新北市新莊區麗水街28號
麗水街,新莊區,242台灣新北市新莊區麗水街20號
